# RTM v1 — feature #00 土台（MiniScreenKernel / C-USB / コンポーネント）
# 列: req_id,design_section,test_case_id,test_layer,automation,status
# req 母集合: 01-要件/00-土台-*.md の FOUND-S(10) + FOUND-D(8) + FOUND-N(8) + FOUND-M(5) = 31
# status: existing=既存pytest緑 / planned=差分TC(IMPL段で追加) / review=設計レビュー受入 / human=人間ゲート / xref=他機能で実証
req_id,design_section,test_case_id,test_layer,automation,status
FOUND-S01,§1.1 §0,UAT-00-01,acceptance,review,review
FOUND-S01,§4 構造規範,ST-00-LINT-05,system,grep,review
FOUND-S02,§1.2,UAT-00-02,acceptance,grep,review
FOUND-S02,§4 構造規範,ST-00-LINT-05,system,grep,review
FOUND-S03,§2.1 §3.1,UT-00-01,unit,pytest,existing
FOUND-S03,§3.3 catalog,UT-00-16,unit,pytest,existing
FOUND-S03,§3 route契約,IT-00-06,integration,pytest,existing
FOUND-S03,§2.1 schema-pack,ST-00-03,system,node,existing
FOUND-S03,§5 C-USB,UAT-00-03,acceptance,review,review
FOUND-S04,§4.2,UAT-00-04,acceptance,review,review
FOUND-S04,§4 構造規範,ST-00-LINT-05,system,grep,review
FOUND-S05,§5.1,UAT-00-04,acceptance,review,review
FOUND-S06,§4.2 §7,UAT-00-04,acceptance,review,review
FOUND-S07,§1.3,UAT-00-05,acceptance,review,review
FOUND-S08,§1.2 §7,UAT-00-06,acceptance,review,review
FOUND-S08,§4 構造規範,ST-00-LINT-05,system,grep,review
FOUND-S09,§5.2 §6,IT-00-01,integration,pytest,existing
FOUND-S09,§6 観測可能性,ST-00-01,system,pytest,existing
FOUND-S10,§1.2,UAT-00-02,acceptance,grep,review
FOUND-D01,§2.2 §4.3,UT-00-11,unit,pytest,existing
FOUND-D01,§3.2 read,UT-00-12,unit,pytest,existing
FOUND-D01,§4.3 pointer,IT-00-07,integration,pytest,planned
FOUND-D01,§2.2 R2キー,ST-00-01,system,pytest,existing
FOUND-D01,§4.1,UAT-00-07,acceptance,review,review
FOUND-D02,§2.3 §4.1,UT-00-08,unit,pytest,existing
FOUND-D02,§2.3,UT-00-09,unit,pytest,existing
FOUND-D02,§4.1 no-overwrite,ST-00-02,system,pytest,existing
FOUND-D02,§4.1,UAT-00-07,acceptance,review,review
FOUND-D03,§7.2 IHL境界,ST-00-LINT-05,system,review,review
FOUND-D04,§3.2 write_json,UT-00-18,unit,pytest,planned
FOUND-D04,§5.1 core+rag,UAT-00-08,acceptance,review,review
FOUND-D05,§2.2,ST-00-01,system,pytest,existing
FOUND-D05,§4.1,UAT-00-07,acceptance,review,review
FOUND-D06,§2.3,UT-00-10,unit,pytest,existing
FOUND-D06,§4.1,IT-00-03,integration,pytest,existing
FOUND-D06,§4.1,ST-00-02,system,pytest,existing
FOUND-D07,§2.3 §5.2,IT-00-04,integration,pytest,planned
FOUND-D07,§4.2,ST-00-07,system,pytest,planned
FOUND-D07,§5.2 provenance,UAT-00-08,acceptance,review,review
FOUND-D08,§2.3 value_origin,IT-00-08,integration,pytest,planned
FOUND-D08,§2.3,UAT-00-09,acceptance,review,review
FOUND-N01,§3.1 enum_ref,UT-00-04,unit,pytest,existing
FOUND-N01,§6 RAG,UAT-00-08,acceptance,review,review
FOUND-N02,§3.1 normalize,UT-00-03,unit,pytest,existing
FOUND-N02,§3.3 pipeline_order,UT-00-17,unit,pytest,existing
FOUND-N02,§5.3 schema参照,IT-00-09,integration,pytest,planned
FOUND-N02,§2.1,ST-00-03,system,node,existing
FOUND-N02,§5 OSS薄ラップ,UAT-00-10,acceptance,review,review
FOUND-N03,§6 マーケット契約,UAT-00-11,acceptance,review,review
FOUND-N04,§4.4 レイヤー,UAT-00-11,acceptance,review,review
FOUND-N05,§3.4 §6 traversal,UT-00-13,unit,pytest,planned
FOUND-N05,§6 placeholder,UT-00-14,unit,pytest,planned
FOUND-N05,§7 parity,ST-00-04,system,node,existing
FOUND-N06,§6 §4.2,ST-00-06,system,pytest,planned
FOUND-N06,§4.2 再解析,ST-00-07,system,pytest,planned
FOUND-N07,§2.3 §4 events,IT-00-05,integration,pytest,existing
FOUND-N08,§6 類似検索,IT-00-08,integration,pytest,xref
FOUND-M01,§8 昇格,UAT-00-12,acceptance,review,review
FOUND-M02,§8 accepted,UAT-00-12,acceptance,review,review
FOUND-M03,§1.4,UAT-00-13,acceptance,review,review
FOUND-M04,§1.4,UAT-00-13,acceptance,review,review
FOUND-M05,§1.2 Phase0,UAT-00-14,acceptance,human,human
