id,name,priority,req_lines,det_v2_lines,det_v3_lines,depth_ratio,det_pattern_total,rtm_rows,rtm_issues
00,土台,P1,588,264,0,0.449,0,62,67
01,ログイン,P2,290,261,272,0.9,16,44,0
02,利用規約,P2,453,257,267,0.567,12,60,0
03,新規登録,P2,280,233,237,0.832,13,52,0
04,ホーム,P2,260,191,195,0.735,11,35,0
06,マーケット,P2,462,226,230,0.489,5,21,0
07,掲示板,P2,211,197,209,0.934,0,21,0
14,貢献度,P1,283,216,0,0.763,2,15,15
15,データ設計,P1,178,176,0,0.989,0,20,20
18,写真解析,P1,227,208,0,0.916,5,18,18
16,UIbuilder,P1,419,192,201,0.458,4,21,25
17,UI選択,P1,193,162,171,0.839,0,13,14
19,コンポ掲示板,P1,192,185,0,0.964,0,13,13
08,カルマ,P1,402,189,0,0.47,1,16,16
09,論文,P1,391,185,0,0.473,1,26,26
10,マチアプ,P1,347,183,0,0.527,2,22,22
05,観測,P0,1286,501,561,0.39,26,117,0
11,裁判,P0,716,181,0,0.253,0,26,26
12,設定,P2,209,197,212,0.943,9,30,0
13,データ取得元,P1,187,202,0,1.08,13,15,15
20,投票,P1,238,192,0,0.807,2,16,16
21,翻訳,P1,272,165,0,0.607,6,23,23
22,PT ショップ,P1,261,173,0,0.663,1,12,12
23,GMO 振込,P1,390,156,165,0.4,4,14,14
