# AUTH-MATRIX v1 — 全 API auth 横断レジストリ（狂気モード · 機械生成）
# 正本: 各機能 契約レジスタ-v1.yaml · 生成: node scripts/ihl-registry-auth-matrix.mjs
# 列: feature,method,path,auth,detail,req_id,source_file
feature,method,path,auth,detail,req_id,source_file
01,GET,/api/v1/auth/session,public,ScopeA/public,-,apps/api/routes/auth.py
01,POST,/api/v1/auth/magic-link,public,ScopeA/public,-,apps/api/routes/auth.py
01,POST,/api/v1/auth/register,public,ScopeA/public,-,apps/api/routes/auth.py
01,POST,/api/v1/auth/verify,public,ScopeA/public,-,apps/api/routes/auth.py
03,GET,/api/v1/auth/session,public,ScopeA/public,-,apps/api/routes/auth.py
03,GET,/api/v1/onboarding/status,public,ScopeA/public,-,apps/api/routes/onboarding.py
03,POST,/api/v1/auth/magic-link,public,ScopeA/public,-,apps/api/routes/auth.py
03,POST,/api/v1/auth/register,public,ScopeA/public,-,apps/api/routes/auth.py
03,POST,/api/v1/auth/verify,public,ScopeA/public,-,apps/api/routes/auth.py
03,POST,/api/v1/onboarding/complete,public,ScopeA/public,-,apps/api/routes/onboarding.py
04,GET,/api/v1/home/summary,public,ScopeA/public,-,apps/api/main.py
05,GET,/api/v1/observation/{capture_id},public,ScopeA/public,-,apps/api/routes/observation.py
05,GET,/api/v1/observation/{capture_id}/image,public,ScopeA/public,-,apps/api/routes/observation.py
05,GET,/api/v1/observation/{capture_id}/reanalysis-manifest,public,ScopeA/public,-,apps/api/routes/observation.py
05,GET,/api/v1/observation/measurement-dictionary,public,ScopeA/public,-,apps/api/routes/observation.py
05,GET,/api/v1/observation/targets/catalog,public,ScopeA/public,-,apps/api/routes/observation.py
05,GET,/api/v1/observation/templates,public,ScopeA/public,-,apps/api/routes/observation.py
05,GET,/api/v1/observation/templates/{template_id},public,ScopeA/public,-,apps/api/routes/observation.py
05,POST,/api/captures,session,RequiredWhenEnabledAuth,-,apps/api/routes/observation_solid.py
05,POST,/api/measurements,session,RequiredWhenEnabledAuth,-,apps/api/routes/observation_solid.py
05,POST,/api/solid-observation/commit,session,RequiredWhenEnabledAuth,-,apps/api/routes/observation_solid.py
05,POST,/api/v1/observation/dictionary-extensions,session,RequiredWhenEnabledAuth,-,apps/api/routes/observation.py
05,POST,/api/v1/observation/measurements,session,RequiredWhenEnabledAuth,-,apps/api/routes/observation.py
05,POST,/api/v1/observation/search,public,ScopeA/public,-,apps/api/routes/observation.py
05,POST,/api/v1/observation/targets/search,public,ScopeA/public,-,apps/api/routes/observation.py
05,POST,/api/v1/observation/templates,session,RequiredWhenEnabledAuth,-,apps/api/routes/observation.py
05,POST,/api/v1/observation/upload,session,RequiredWhenEnabledAuth,-,apps/api/routes/observation.py
06,GET,/api/v1/market/listings,public,ScopeA/public,-,apps/api/routes/market.py
06,GET,/api/v1/market/listings/{listing_id},public,ScopeA/public,-,apps/api/routes/market.py
06,GET,/api/v1/market/transfer/{listing_id},public,ScopeA/public,-,apps/api/routes/market.py
06,POST,/api/v1/market/listings/{listing_id}/match,public,ScopeA/public,-,apps/api/routes/market.py
06,POST,/api/v1/market/listings/{listing_id}/transition,public,ScopeA/public,-,apps/api/routes/market.py
07,GET,/api/v1/board/{category}/threads,public,ScopeA/public,-,apps/api/routes/board.py
07,GET,/api/v1/board/categories,public,ScopeA/public,-,apps/api/routes/board.py
07,GET,/api/v1/component-board,public,ScopeA/public,-,apps/api/routes/board.py
07,POST,/api/v1/board/{category}/threads,public,ScopeA/public,-,apps/api/routes/board.py
07,POST,/api/v1/board/{category}/threads/{thread_id}/posts,public,ScopeA/public,-,apps/api/routes/board.py
11,GET,/api/v1/dispute/{thread_id},public,ScopeA/public,-,apps/api/main.py
11,POST,/api/v1/dispute/{thread_id}/messages,public,ScopeA/public,-,apps/api/main.py
11,POST,/api/v1/dispute/{thread_id}/open-market,public,ScopeA/public,-,apps/api/main.py
12,GET,/api/v1/me/preferences,public,ScopeA/public,-,apps/api/routes/me.py
12,GET,/api/v1/me/settings,public,ScopeA/public,-,apps/api/routes/me.py
12,GET,/api/v1/settings,public,ScopeA/public,-,apps/api/main.py
12,PATCH,/api/v1/me/preferences,public,ScopeA/public,-,apps/api/routes/me.py
12,POST,/api/v1/settings/pii-session,public,ScopeA/public,-,apps/api/main.py
16,GET,/api/v1/theme-packs,public,ScopeA/public,-,apps/api/main.py
16,GET,/api/v1/theme-packs/{pack_id},public,ScopeA/public,-,apps/api/main.py
16,POST,/api/v1/builder/canvas,public,ScopeA/public,-,apps/api/main.py
16,POST,/api/v1/theme-packs,public,ScopeA/public,-,apps/api/main.py
17,GET,/api/v1/settings,public,ScopeA/public,-,apps/api/main.py
17,PATCH,/api/v1/me/preferences,public,ScopeA/public,-,apps/api/routes/me.py
23,GET,/api/v1/gmo/reconciliation/meta,public,ScopeA/public,-,apps/api/routes/gmo.py
23,GET,/api/v1/gmo/transfer-code,public,ScopeA/public,-,apps/api/routes/gmo.py
23,GET,/api/v1/gmo/va-deposit/unsent,public,ScopeA/public,-,apps/api/routes/gmo.py
23,POST,/api/v1/gmo/expected-payment,public,ScopeA/public,-,apps/api/routes/gmo.py
23,POST,/api/v1/gmo/va-deposit/subscribe,public,ScopeA/public,-,apps/api/routes/gmo.py
23,POST,/api/v1/gmo/webhook,public,ScopeA/public,-,apps/api/routes/gmo.py
