# COMPONENT-MOCK-REGISTRY v1 — QUANTUM merge
# merge: node scripts/ihl-quantum-merge.mjs
mock_file,region_id,component_id,primitive,reuse,shard_id
`ihl-00-onboarding-login.png`,AppShell,AppShell,card,required,mock-00-ihl-00-onboarding-login-r01
`ihl-00-onboarding-login.png`,PageHeader,PageHeader,card,required,mock-00-ihl-00-onboarding-login-r02
`ihl-00-onboarding-login.png`,PrimaryAction,PrimaryAction,button,required,mock-00-ihl-00-onboarding-login-r03
`ihl-00-onboarding-login.png`,ContentArea,ContentArea,card,optional,mock-00-ihl-00-onboarding-login-r04
`ihl-00-onboarding-login.png`,StatePanel,StatePanel,card,required,mock-00-ihl-00-onboarding-login-r05
`ihl-00-onboarding-signup.png`,AppShell,AppShell,card,required,mock-00-ihl-00-onboarding-signup-r01
`ihl-00-onboarding-signup.png`,PageHeader,PageHeader,card,required,mock-00-ihl-00-onboarding-signup-r02
`ihl-00-onboarding-signup.png`,PrimaryAction,PrimaryAction,button,required,mock-00-ihl-00-onboarding-signup-r03
`ihl-00-onboarding-signup.png`,ContentArea,ContentArea,card,optional,mock-00-ihl-00-onboarding-signup-r04
`ihl-00-onboarding-signup.png`,StatePanel,StatePanel,card,required,mock-00-ihl-00-onboarding-signup-r05
`ihl-00-terms.png`,AppShell,AppShell,card,required,mock-00-ihl-00-terms-r01
`ihl-00-terms.png`,PageHeader,PageHeader,card,required,mock-00-ihl-00-terms-r02
`ihl-00-terms.png`,PrimaryAction,PrimaryAction,button,required,mock-00-ihl-00-terms-r03
`ihl-00-terms.png`,ContentArea,ContentArea,card,optional,mock-00-ihl-00-terms-r04
`ihl-00-terms.png`,StatePanel,StatePanel,card,required,mock-00-ihl-00-terms-r05
`ihl-profile-three-metrics.png`,AppShell,AppShell,card,required,mock-00-ihl-profile-three-metrics-r01
`ihl-profile-three-metrics.png`,PageHeader,PageHeader,card,required,mock-00-ihl-profile-three-metrics-r02
`ihl-profile-three-metrics.png`,PrimaryAction,PrimaryAction,button,required,mock-00-ihl-profile-three-metrics-r03
`ihl-profile-three-metrics.png`,ContentArea,ContentArea,card,optional,mock-00-ihl-profile-three-metrics-r04
`ihl-profile-three-metrics.png`,StatePanel,StatePanel,card,required,mock-00-ihl-profile-three-metrics-r05
`ihl-01-nav-home.png`,AppShell,AppShell,card,required,mock-01-ihl-01-nav-home-r01
`ihl-01-nav-home.png`,PageHeader,PageHeader,card,required,mock-01-ihl-01-nav-home-r02
`ihl-01-nav-home.png`,PrimaryAction,PrimaryAction,button,required,mock-01-ihl-01-nav-home-r03
`ihl-01-nav-home.png`,ContentArea,ContentArea,card,optional,mock-01-ihl-01-nav-home-r04
`ihl-01-nav-home.png`,StatePanel,StatePanel,card,required,mock-01-ihl-01-nav-home-r05
`ihl-03-lineage-cross.png`,AppShell,AppShell,card,required,mock-03-ihl-03-lineage-cross-r01
`ihl-03-lineage-cross.png`,PageHeader,PageHeader,card,required,mock-03-ihl-03-lineage-cross-r02
`ihl-03-lineage-cross.png`,PrimaryAction,PrimaryAction,button,required,mock-03-ihl-03-lineage-cross-r03
`ihl-03-lineage-cross.png`,ContentArea,ContentArea,card,optional,mock-03-ihl-03-lineage-cross-r04
`ihl-03-lineage-cross.png`,StatePanel,StatePanel,card,required,mock-03-ihl-03-lineage-cross-r05
`ihl-03-lineage-growth-detail.png`,AppShell,AppShell,card,required,mock-03-ihl-03-lineage-growth-detail-r01
`ihl-03-lineage-growth-detail.png`,PageHeader,PageHeader,card,required,mock-03-ihl-03-lineage-growth-detail-r02
`ihl-03-lineage-growth-detail.png`,PrimaryAction,PrimaryAction,button,required,mock-03-ihl-03-lineage-growth-detail-r03
`ihl-03-lineage-growth-detail.png`,ContentArea,ContentArea,card,optional,mock-03-ihl-03-lineage-growth-detail-r04
`ihl-03-lineage-growth-detail.png`,StatePanel,StatePanel,card,required,mock-03-ihl-03-lineage-growth-detail-r05
`ihl-03-lineage-metrics-detail.png`,AppShell,AppShell,card,required,mock-03-ihl-03-lineage-metrics-detail-r01
`ihl-03-lineage-metrics-detail.png`,PageHeader,PageHeader,card,required,mock-03-ihl-03-lineage-metrics-detail-r02
`ihl-03-lineage-metrics-detail.png`,PrimaryAction,PrimaryAction,button,required,mock-03-ihl-03-lineage-metrics-detail-r03
`ihl-03-lineage-metrics-detail.png`,ContentArea,ContentArea,card,optional,mock-03-ihl-03-lineage-metrics-detail-r04
`ihl-03-lineage-metrics-detail.png`,StatePanel,StatePanel,card,required,mock-03-ihl-03-lineage-metrics-detail-r05
`ihl-03-lineage-mortality-detail.png`,AppShell,AppShell,card,required,mock-03-ihl-03-lineage-mortality-detail-r01
`ihl-03-lineage-mortality-detail.png`,PageHeader,PageHeader,card,required,mock-03-ihl-03-lineage-mortality-detail-r02
`ihl-03-lineage-mortality-detail.png`,PrimaryAction,PrimaryAction,button,required,mock-03-ihl-03-lineage-mortality-detail-r03
`ihl-03-lineage-mortality-detail.png`,ContentArea,ContentArea,card,optional,mock-03-ihl-03-lineage-mortality-detail-r04
`ihl-03-lineage-mortality-detail.png`,StatePanel,StatePanel,card,required,mock-03-ihl-03-lineage-mortality-detail-r05
`ihl-05-obs-context-picker.png`,AppShell,AppShell,card,required,mock-05-ihl-05-obs-context-picker-r01
`ihl-05-obs-context-picker.png`,PageHeader,PageHeader,card,required,mock-05-ihl-05-obs-context-picker-r02
`ihl-05-obs-context-picker.png`,PrimaryAction,PrimaryAction,button,required,mock-05-ihl-05-obs-context-picker-r03
`ihl-05-obs-context-picker.png`,ContentArea,ContentArea,card,optional,mock-05-ihl-05-obs-context-picker-r04
`ihl-05-obs-context-picker.png`,StatePanel,StatePanel,card,required,mock-05-ihl-05-obs-context-picker-r05
`ihl-05-obs-detail-similar.png`,AppShell,AppShell,card,required,mock-05-ihl-05-obs-detail-similar-r01
`ihl-05-obs-detail-similar.png`,PageHeader,PageHeader,card,required,mock-05-ihl-05-obs-detail-similar-r02
`ihl-05-obs-detail-similar.png`,PrimaryAction,PrimaryAction,button,required,mock-05-ihl-05-obs-detail-similar-r03
`ihl-05-obs-detail-similar.png`,ContentArea,ContentArea,card,optional,mock-05-ihl-05-obs-detail-similar-r04
`ihl-05-obs-detail-similar.png`,StatePanel,StatePanel,card,required,mock-05-ihl-05-obs-detail-similar-r05
`ihl-05-obs-device-link.png`,AppShell,AppShell,card,required,mock-05-ihl-05-obs-device-link-r01
`ihl-05-obs-device-link.png`,PageHeader,PageHeader,card,required,mock-05-ihl-05-obs-device-link-r02
`ihl-05-obs-device-link.png`,PrimaryAction,PrimaryAction,button,required,mock-05-ihl-05-obs-device-link-r03
`ihl-05-obs-device-link.png`,ContentArea,ContentArea,card,optional,mock-05-ihl-05-obs-device-link-r04
`ihl-05-obs-device-link.png`,StatePanel,StatePanel,card,required,mock-05-ihl-05-obs-device-link-r05
`ihl-05-obs-input-female.png`,AppShell,AppShell,card,required,mock-05-ihl-05-obs-input-female-r01
`ihl-05-obs-input-female.png`,PageHeader,PageHeader,card,required,mock-05-ihl-05-obs-input-female-r02
`ihl-05-obs-input-female.png`,PrimaryAction,PrimaryAction,button,required,mock-05-ihl-05-obs-input-female-r03
`ihl-05-obs-input-female.png`,ContentArea,ContentArea,card,optional,mock-05-ihl-05-obs-input-female-r04
`ihl-05-obs-input-female.png`,StatePanel,StatePanel,card,required,mock-05-ihl-05-obs-input-female-r05
`ihl-05-obs-input-male.png`,AppShell,AppShell,card,required,mock-05-ihl-05-obs-input-male-r01
`ihl-05-obs-input-male.png`,PageHeader,PageHeader,card,required,mock-05-ihl-05-obs-input-male-r02
`ihl-05-obs-input-male.png`,PrimaryAction,PrimaryAction,button,required,mock-05-ihl-05-obs-input-male-r03
`ihl-05-obs-input-male.png`,ContentArea,ContentArea,card,optional,mock-05-ihl-05-obs-input-male-r04
`ihl-05-obs-input-male.png`,StatePanel,StatePanel,card,required,mock-05-ihl-05-obs-input-male-r05
`ihl-05-obs-input-row.png`,AppShell,AppShell,card,required,mock-05-ihl-05-obs-input-row-r01
`ihl-05-obs-input-row.png`,PageHeader,PageHeader,card,required,mock-05-ihl-05-obs-input-row-r02
`ihl-05-obs-input-row.png`,PrimaryAction,PrimaryAction,button,required,mock-05-ihl-05-obs-input-row-r03
`ihl-05-obs-input-row.png`,ContentArea,ContentArea,card,optional,mock-05-ihl-05-obs-input-row-r04
`ihl-05-obs-input-row.png`,StatePanel,StatePanel,card,required,mock-05-ihl-05-obs-input-row-r05
`ihl-05-obs-search-grid.png`,AppShell,AppShell,card,required,mock-05-ihl-05-obs-search-grid-r01
`ihl-05-obs-search-grid.png`,SearchFilterBar,SearchFilterBar,input,required,mock-05-ihl-05-obs-search-grid-r02
`ihl-05-obs-search-grid.png`,ResultGridCard,ResultGridCard,card,required,mock-05-ihl-05-obs-search-grid-r03
`ihl-05-obs-search-grid.png`,Pagination,Pagination,card,optional,mock-05-ihl-05-obs-search-grid-r04
`ihl-05-obs-search-grid.png`,EmptyState,EmptyState,card,optional,mock-05-ihl-05-obs-search-grid-r05
`ihl-05-obs-template-detail.png`,AppShell,AppShell,card,required,mock-05-ihl-05-obs-template-detail-r01
`ihl-05-obs-template-detail.png`,PageHeader,PageHeader,card,required,mock-05-ihl-05-obs-template-detail-r02
`ihl-05-obs-template-detail.png`,PrimaryAction,PrimaryAction,button,required,mock-05-ihl-05-obs-template-detail-r03
`ihl-05-obs-template-detail.png`,ContentArea,ContentArea,card,optional,mock-05-ihl-05-obs-template-detail-r04
`ihl-05-obs-template-detail.png`,StatePanel,StatePanel,card,required,mock-05-ihl-05-obs-template-detail-r05
`ihl-05-obs-template-fork.png`,AppShell,AppShell,card,required,mock-05-ihl-05-obs-template-fork-r01
`ihl-05-obs-template-fork.png`,PageHeader,PageHeader,card,required,mock-05-ihl-05-obs-template-fork-r02
`ihl-05-obs-template-fork.png`,PrimaryAction,PrimaryAction,button,required,mock-05-ihl-05-obs-template-fork-r03
`ihl-05-obs-template-fork.png`,ContentArea,ContentArea,card,optional,mock-05-ihl-05-obs-template-fork-r04
`ihl-05-obs-template-fork.png`,StatePanel,StatePanel,card,required,mock-05-ihl-05-obs-template-fork-r05
`ihl-05-obs-template-list.png`,AppShell,AppShell,card,required,mock-05-ihl-05-obs-template-list-r01
`ihl-05-obs-template-list.png`,PageHeader,PageHeader,card,required,mock-05-ihl-05-obs-template-list-r02
`ihl-05-obs-template-list.png`,PrimaryAction,PrimaryAction,button,required,mock-05-ihl-05-obs-template-list-r03
`ihl-05-obs-template-list.png`,ContentArea,ContentArea,card,optional,mock-05-ihl-05-obs-template-list-r04
`ihl-05-obs-template-list.png`,StatePanel,StatePanel,card,required,mock-05-ihl-05-obs-template-list-r05
`ihl-06-market-auction-bid.png`,AppShell,AppShell,card,required,mock-06-ihl-06-market-auction-bid-r01
`ihl-06-market-auction-bid.png`,PageHeader,PageHeader,card,required,mock-06-ihl-06-market-auction-bid-r02
`ihl-06-market-auction-bid.png`,PrimaryAction,PrimaryAction,button,required,mock-06-ihl-06-market-auction-bid-r03
`ihl-06-market-auction-bid.png`,ContentArea,ContentArea,card,optional,mock-06-ihl-06-market-auction-bid-r04
`ihl-06-market-auction-bid.png`,StatePanel,StatePanel,card,required,mock-06-ihl-06-market-auction-bid-r05
`ihl-06-market-browse.png`,AppShell,AppShell,card,required,mock-06-ihl-06-market-browse-r01
`ihl-06-market-browse.png`,PageHeader,PageHeader,card,required,mock-06-ihl-06-market-browse-r02
`ihl-06-market-browse.png`,PrimaryAction,PrimaryAction,button,required,mock-06-ihl-06-market-browse-r03
`ihl-06-market-browse.png`,ContentArea,ContentArea,card,optional,mock-06-ihl-06-market-browse-r04
`ihl-06-market-browse.png`,StatePanel,StatePanel,card,required,mock-06-ihl-06-market-browse-r05
`ihl-06-market-detail-board.png`,AppShell,AppShell,card,required,mock-06-ihl-06-market-detail-board-r01
`ihl-06-market-detail-board.png`,PageHeader,PageHeader,card,required,mock-06-ihl-06-market-detail-board-r02
`ihl-06-market-detail-board.png`,PrimaryAction,PrimaryAction,button,required,mock-06-ihl-06-market-detail-board-r03
`ihl-06-market-detail-board.png`,ContentArea,ContentArea,card,optional,mock-06-ihl-06-market-detail-board-r04
`ihl-06-market-detail-board.png`,StatePanel,StatePanel,card,required,mock-06-ihl-06-market-detail-board-r05
`ihl-06-market-detail-board-stage2.png`,AppShell,AppShell,card,required,mock-06-ihl-06-market-detail-board-stage2-r01
`ihl-06-market-detail-board-stage2.png`,PageHeader,PageHeader,card,required,mock-06-ihl-06-market-detail-board-stage2-r02
`ihl-06-market-detail-board-stage2.png`,PrimaryAction,PrimaryAction,button,required,mock-06-ihl-06-market-detail-board-stage2-r03
`ihl-06-market-detail-board-stage2.png`,ContentArea,ContentArea,card,optional,mock-06-ihl-06-market-detail-board-stage2-r04
`ihl-06-market-detail-board-stage2.png`,StatePanel,StatePanel,card,required,mock-06-ihl-06-market-detail-board-stage2-r05
