# INFRA-ROUTE-MATRIX v1 — ver4 migration
# generated: scripts/ihl-quantum-merge.mjs
feature,method,path,ver3_host,ver4_host,migration_wave,shard_id
—,GET,/api/v1/auth/session,VPS,Workers,W2,infra-route-001
—,POST,/api/v1/auth/magic-link,VPS,Workers,W2,infra-route-002
—,POST,/api/v1/auth/register,VPS,Workers,W2,infra-route-003
—,POST,/api/v1/auth/verify,VPS,Workers,W2,infra-route-004
—,GET,/api/v1/auth/session,VPS,Workers,W2,infra-route-005
—,GET,/api/v1/onboarding/status,VPS,Workers,W2,infra-route-006
—,POST,/api/v1/auth/magic-link,VPS,Workers,W2,infra-route-007
—,POST,/api/v1/auth/register,VPS,Workers,W2,infra-route-008
—,POST,/api/v1/auth/verify,VPS,Workers,W2,infra-route-009
—,POST,/api/v1/onboarding/complete,VPS,Workers,W2,infra-route-010
—,GET,/api/v1/home/summary,VPS,Workers,W2,infra-route-011
—,GET,/api/v1/observation/{capture_id},VPS,Workers,W2,infra-route-012
—,GET,/api/v1/observation/{capture_id}/image,VPS,Workers,W2,infra-route-013
—,GET,/api/v1/observation/{capture_id}/reanalysis-manifest,VPS,Workers,W2,infra-route-014
—,GET,/api/v1/observation/measurement-dictionary,VPS,Workers,W2,infra-route-015
—,GET,/api/v1/observation/targets/catalog,VPS,Workers,W2,infra-route-016
—,GET,/api/v1/observation/templates,VPS,Workers,W2,infra-route-017
—,GET,/api/v1/observation/templates/{template_id},VPS,Workers,W2,infra-route-018
—,POST,/api/captures,VPS,Workers,W2,infra-route-019
—,POST,/api/measurements,VPS,Workers,W2,infra-route-020
—,POST,/api/solid-observation/commit,VPS,Workers,W2,infra-route-021
—,POST,/api/v1/observation/dictionary-extensions,VPS,Workers,W2,infra-route-022
—,POST,/api/v1/observation/measurements,VPS,Workers,W2,infra-route-023
—,POST,/api/v1/observation/search,VPS,Workers,W2,infra-route-024
—,POST,/api/v1/observation/targets/search,VPS,Workers,W2,infra-route-025
—,POST,/api/v1/observation/templates,VPS,Workers,W2,infra-route-026
—,POST,/api/v1/observation/upload,VPS,Workers,W2,infra-route-027
—,GET,/api/v1/market/listings,VPS,Workers,W2,infra-route-028
—,GET,/api/v1/market/listings/{listing_id},VPS,Workers,W2,infra-route-029
—,GET,/api/v1/market/transfer/{listing_id},VPS,Workers,W2,infra-route-030
—,POST,/api/v1/market/listings/{listing_id}/match,VPS,Workers,W2,infra-route-031
—,POST,/api/v1/market/listings/{listing_id}/transition,VPS,Workers,W2,infra-route-032
—,GET,/api/v1/board/{category}/threads,VPS,Workers,W2,infra-route-033
—,GET,/api/v1/board/categories,VPS,Workers,W2,infra-route-034
—,GET,/api/v1/component-board,VPS,Workers,W2,infra-route-035
—,POST,/api/v1/board/{category}/threads,VPS,Workers,W2,infra-route-036
—,POST,/api/v1/board/{category}/threads/{thread_id}/posts,VPS,Workers,W2,infra-route-037
—,GET,/api/v1/dispute/{thread_id},VPS,Workers,W2,infra-route-038
—,POST,/api/v1/dispute/{thread_id}/messages,VPS,Workers,W2,infra-route-039
—,POST,/api/v1/dispute/{thread_id}/open-market,VPS,Workers,W2,infra-route-040
—,GET,/api/v1/me/preferences,VPS,Workers,W2,infra-route-041
—,GET,/api/v1/me/settings,VPS,Workers,W2,infra-route-042
—,GET,/api/v1/settings,VPS,Workers,W2,infra-route-043
—,PATCH,/api/v1/me/preferences,VPS,Workers,W2,infra-route-044
—,POST,/api/v1/settings/pii-session,VPS,Workers,W2,infra-route-045
—,GET,/api/v1/theme-packs,VPS,Workers,W2,infra-route-046
—,GET,/api/v1/theme-packs/{pack_id},VPS,Workers,W2,infra-route-047
—,POST,/api/v1/builder/canvas,VPS,Workers,W2,infra-route-048
—,POST,/api/v1/theme-packs,VPS,Workers,W2,infra-route-049
—,GET,/api/v1/settings,VPS,Workers,W2,infra-route-050
—,PATCH,/api/v1/me/preferences,VPS,Workers,W2,infra-route-051
—,GET,/api/v1/gmo/reconciliation/meta,VPS,Workers,W2,infra-route-052
—,GET,/api/v1/gmo/transfer-code,VPS,Workers,W2,infra-route-053
—,GET,/api/v1/gmo/va-deposit/unsent,VPS,Workers,W2,infra-route-054
—,POST,/api/v1/gmo/expected-payment,VPS,Workers,W2,infra-route-055
—,POST,/api/v1/gmo/va-deposit/subscribe,VPS,Workers,W2,infra-route-056
—,POST,/api/v1/gmo/webhook,VPS,Workers,W2,infra-route-057
